,name,description
28,Cellpose training (2.x),"Deprecated. Use the node with the same name.<br/><br/>Trains a model with Cellpose. You start from an existing model or train from scratch. Incoming images are automatically converted to greyscale. Only 2D or 3D images are supported. For this node to work, you need to annotate a greyscale 16-bit or 8-bit label image column to each raw data input. To do this, you can use the node 'Annotate with data'. By default, JIPipe will ensure that all connected components of this image are assigned a unique component. You can disable this feature via the parameters.<br/><br/>This algorithm merges all annotations and data annotations. Use the iteration step settings to determine how annotations and data annotations are merged"
29,Cellpose segmentation training (2.x),"Trains a segmentation model with Cellpose. You start from an existing model or train from scratch. Incoming images are automatically converted to greyscale. Only 2D or 3D images are supported. For this node to work, you need to annotate a greyscale 16-bit or 8-bit label image column to each raw data input. To do this, you can use the node 'Annotate with data'. By default, JIPipe will ensure that all connected components of this image are assigned a unique component. You can disable this feature via the parameters.<br/><br/>This algorithm merges all annotations and data annotations. Use the iteration step settings to determine how annotations and data annotations are merged"
30,Cellpose training (Deprecated),"Trains a model with Cellpose. You start from an existing model or train from scratch. Incoming images are automatically converted to greyscale. Only 2D or 3D images are supported. For this node to work, you need to annotate a greyscale 16-bit or 8-bit label image column to each raw data input. To do this, you can use the node 'Annotate with data'. By default, JIPipe will ensure that all connected components of this image are assigned a unique component. You can disable this feature via the parameters.<br/><br/>This algorithm merges all annotations and data annotations. Use the iteration step settings to determine how annotations and data annotations are merged"
31,Cellpose (Deprecated),"Runs Cellpose on the input image. This node supports both segmentation in 3D and executing Cellpose for each 2D image plane. This node can generate a multitude of outputs, although only ROI is activated by default. Go to the 'Outputs' parameter section to enable the other outputs.<ul><li><b>Labels:</b> A grayscale image where each connected component is assigned a unique value. Please note that ImageJ will run into issues if too many objects are present and the labels are saved in int32. ImageJ would load them as float32.</li><li><b>Flows:</b> An RGB image that indicates the flow of each pixel. Convert it to HSB to extract information.</li><li><b>Probabilities:</b> An image indicating the probabilities for each pixel.</li><li><b>Styles:</b> A vector summarizing each image.</li><li><b>ROI:</b> ROI of the segmented areas.</li></ul>Please note that you need to setup a valid Python environment with Cellpose installed. You can find the setting in Project &gt; Application settings &gt; Extensions &gt; Cellpose.<br/><br/>This algorithm merges all annotations and data annotations. Use the iteration step settings to determine how annotations and data annotations are merged"
32,Check iteration steps (multiple data per slot),"Pass multiple inputs through this node to check if iteration steps are correctly created and filter out incomplete steps. This node is designed for creating iteration steps where multiple data items can be assigned to an iteration step input slot.<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of multiple data items. If you want to group all data into one output, set the matching strategy to 'Custom' and leave 'Data set matching annotations' empty."
33,Check iteration steps (one data per slot),Pass multiple inputs through this node to check if iteration steps are correctly created and filter out incomplete steps. This node is designed for creating iteration steps where one data item is assigned to each iteration step input slot.<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot.
34,CLIJ2 Absolute,"Computes the absolute value of every individual pixel x in a given image.<br/><br/><pre>f(x) = |x| </pre><br/><br/>Parameters<br/>----------<br/>source : Image<br/>    The input image to be processed.<br/>destination : Image<br/>    The output image where results are written into.<br/><br/><br/>Parameters: Image source, ByRef Image destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
35,CLIJ2 Absolute Difference,"Determines the absolute difference pixel by pixel between two images.<br/><br/><pre>f(x, y) = |x - y| </pre><br/><br/>Parameters<br/>----------<br/>source1 : Image<br/>    The input image to be subtracted from.<br/>source2 : Image<br/>    The input image which is subtracted.<br/>destination : Image<br/>    The output image  where results are written into.<br/><br/><br/>Parameters: Image source1, Image source2, ByRef Image destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
36,CLIJ2 Add Image And Scalar,"Adds a scalar value s to all pixels x of a given image X.<br/><br/><pre>f(x, s) = x + s</pre><br/><br/>Parameters<br/>----------<br/>source : Image<br/>    The input image where scalare should be added.<br/>destination : Image<br/>    The output image where results are written into.<br/>scalar : float<br/>    The constant number which will be added to all pixels.<br/><br/><br/>Parameters: Image source, ByRef Image destination, Number scalar<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
37,CLIJ2 Add Images,"Calculates the sum of pairs of pixels x and y of two images X and Y.<br/><br/><pre>f(x, y) = x + y</pre><br/><br/>Parameters<br/>----------<br/>summand1 : Image<br/>    The first input image to added.<br/>summand2 : Image<br/>    The second image to be added.<br/>destination : Image<br/>    The output image where results are written into.<br/><br/><br/>Parameters: Image summand1, Image summand2, ByRef Image destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
38,CLIJ2 Add Images Weighted,"Calculates the sum of pairs of pixels x and y from images X and Y weighted with factors a and b.<br/><br/><pre>f(x, y, a, b) = x * a + y * b</pre><br/><br/>Parameters<br/>----------<br/>summand1 : Image<br/>    The first input image to added.<br/>summand2 : Image<br/>    The second image to be added.<br/>destination : Image<br/>    The output image where results are written into.<br/>factor1 : float<br/>    The constant number which will be multiplied with each pixel of summand1 before adding it.<br/>factor2 : float<br/>    The constant number which will be multiplied with each pixel of summand2 before adding it.<br/><br/><br/>Parameters: Image summand1, Image summand2, ByRef Image destination, Number factor1, Number factor2<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
39,CLIJ2 Adjacency Matrix To Touch Matrix,"Converts a adjacency matrix in a touch matrix.<br/><br/>An adjacency matrix is symmetric while a touch matrix is typically not.<br/><br/>Parameters<br/>----------<br/>adjacency_matrix : Image<br/>    The input adjacency matrix to be read from.<br/>touch_matrix : Image<br/>    The output touch matrix to be written into.<br/><br/><br/>Parameters: Image adjacency_matrix, ByRef Image touch_matrix<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
40,CLIJ2 Affine Transform 2D,"Author: Robert Haase and Peter Haub based on work by Martin Weigert<br/><br/>Applies an affine transform to a 2D image.<br/><br/>The transform describes how coordinates in the target image are transformed to coordinates in the source image.<br/>This may appear unintuitive and will be changed in the next major release. The replacement <br/>affineTransform (currently part of CLIJx) will apply inverted transforms compared to this operation.<br/>Individual transforms must be separated by spaces.<br/>Parameters<br/>----------<br/>source : Image<br/>    The input image to be processed.<br/>destination : Image<br/>    The output image where results are written into.<br/>transform : String<br/>    A space-separated list of individual transforms. Syntrax see below.<br/><br/>Supported transforms:<br/><br/>* -center: translate the coordinate origin to the center of the image<br/>* center: translate the coordinate origin back to the initial origin<br/>* rotate=[angle]: rotate in X/Y plane (around Z-axis) by the given angle in degrees<br/>* scale=[factor]: isotropic scaling according to given zoom factor<br/>* scaleX=[factor]: scaling along X-axis according to given zoom factor<br/>* scaleY=[factor]: scaling along Y-axis according to given zoom factor<br/>* shearXY=[factor]: shearing along X-axis in XY plane according to given factor<br/>* translateX=[distance]: translate along X-axis by distance given in pixels<br/>* translateY=[distance]: translate along X-axis by distance given in pixels<br/><br/>Example transform:<br/>transform = \-center scale=2 rotate=45 center\;License:  adapted from: https://github.com/maweigert/gputools/blob/master/gputools/transforms/kernels/transformations.cl<br/><br/> Copyright (c) 2016, Martin Weigert<br/> All rights reserved.<br/>...<br/><br/><br/><br/>Parameters: Image source, ByRef Image destination, String transform<br/>Available for: 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
41,CLIJ2 Affine Transform 3D,"Author: Robert Haase based on work by Martin Weigert<br/><br/>Applies an affine transform to a 3D image.<br/><br/>The transform describes how coordinates in the target image are transformed to coordinates in the source image.<br/>This may appear unintuitive and will be changed in the next major release. The replacement <br/>affineTransform (currently part of CLIJx) will apply inverted transforms compared to this operation.<br/>Individual transforms must be separated by spaces.<br/>Parameters<br/>----------<br/>source : Image<br/>    The input image to be processed.<br/>destination : Image<br/>    The output image where results are written into.<br/>transform : String<br/>    A space-separated list of individual transforms. Syntrax see below.<br/><br/>Supported transforms:<br/><br/>* -center: translate the coordinate origin to the center of the image<br/>* center: translate the coordinate origin back to the initial origin<br/>* rotate=[angle]: rotate in X/Y plane (around Z-axis) by the given angle in degrees<br/>* rotateX=[angle]: rotate in Y/Z plane (around X-axis) by the given angle in degrees<br/>* rotateY=[angle]: rotate in X/Z plane (around Y-axis) by the given angle in degrees<br/>* rotateZ=[angle]: rotate in X/Y plane (around Z-axis) by the given angle in degrees<br/>* scale=[factor]: isotropic scaling according to given zoom factor<br/>* scaleX=[factor]: scaling along X-axis according to given zoom factor<br/>* scaleY=[factor]: scaling along Y-axis according to given zoom factor<br/>* scaleZ=[factor]: scaling along Z-axis according to given zoom factor<br/>* shearXY=[factor]: shearing along X-axis in XY plane according to given factor<br/>* shearXZ=[factor]: shearing along X-axis in XZ plane according to given factor<br/>* shearYX=[factor]: shearing along Y-axis in XY plane according to given factor<br/>* shearYZ=[factor]: shearing along Y-axis in YZ plane according to given factor<br/>* shearZX=[factor]: shearing along Z-axis in XZ plane according to given factor<br/>* shearZY=[factor]: shearing along Z-axis in YZ plane according to given factor<br/>* translateX=[distance]: translate along X-axis by distance given in pixels<br/>* translateY=[distance]: translate along X-axis by distance given in pixels<br/>* translateZ=[distance]: translate along X-axis by distance given in pixels<br/><br/>Example transform:<br/>transform = \-center scale=2 rotate=45 center\;License:  adapted from: https://github.com/maweigert/gputools/blob/master/gputools/transforms/kernels/transformations.cl<br/><br/> Copyright (c) 2016, Martin Weigert<br/> All rights reserved.<br/>...<br/><br/><br/><br/>Parameters: Image source, ByRef Image destination, String transform<br/>Available for: 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
42,CLIJ2 Apply Vector Field 2D,"Deforms an image according to distances provided in the given vector images.<br/><br/> It is recommended to use 32-bit images for input, output and vector images.<br/><br/>Parameters<br/>----------<br/>source : Image<br/>    The input image to be processed.<br/>vector_x : Image<br/>    Pixels in this image describe the distance in X direction pixels should be shifted during warping.<br/>vector_y : Image<br/>    Pixels in this image describe the distance in Y direction pixels should be shifted during warping.<br/>destination : Image<br/>    The output image where results are written into.<br/><br/><br/>Parameters: Image source, Image vector_x, Image vector_y, ByRef Image destination<br/>Available for: 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
43,CLIJ2 Apply Vector Field 3D,"Deforms an image stack according to distances provided in the given vector image stacks.<br/><br/>It is recommended to use 32-bit image stacks for input, output and vector image stacks.<br/><br/>Parameters<br/>----------<br/>source : Image<br/>    The input image to be processed.<br/>vector_x : Image<br/>    Pixels in this image describe the distance in X direction pixels should be shifted during warping.<br/>vector_y : Image<br/>    Pixels in this image describe the distance in Y direction pixels should be shifted during warping.<br/>vector_z : Image<br/>    Pixels in this image describe the distance in Z direction pixels should be shifted during warping.<br/>destination : Image<br/>    The output image where results are written into.<br/><br/><br/>Parameters: Image source, Image vectorX, Image vectorY, Image vectorZ, ByRef Image destination<br/>Available for: 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
44,CLIJ2 Arg Maximum Z Projection,"Determines the maximum projection of an image stack along Z.<br/><br/>Furthermore, another 2D image is generated with pixels containing the z-index where the maximum was found (zero based).<br/><br/>Parameters: Image source, ByRef Image destination_max, ByRef Image destination_arg_max<br/>Available for: 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
45,CLIJ2 Automatic Threshold,"Author: Robert Haase based on work by G. Landini and W. Rasband<br/><br/>The automatic thresholder utilizes the threshold methods from ImageJ on a histogram determined on <br/>the GPU to create binary images as similar as possible to ImageJ 'Apply Threshold' method.<br/><br/> Enter one <br/>of these methods in the method text field:<br/>[Default, Huang, Intermodes, IsoData, IJ_IsoData, Li, MaxEntropy, Mean, MinError, Minimum, Moments, Otsu, Percentile, RenyiEntropy, Shanbhag, Triangle, Yen]License: The code for the automatic thresholding methods originates from https://github.com/imagej/imagej1/blob/master/ij/process/AutoThresholder.java<br/><br/>Detailed documentation on the implemented methods can be found online: https://imagej.net/Auto_Threshold<br/><br/><br/><br/>Parameters: Image input, ByRef Image destination, String method<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
46,CLIJ2 Average Distance Of N Closest Neighbors Map,"Takes a label map, determines distances between all centroids and replaces every label with the average distance to the n closest neighboring labels.<br/><br/>Parameters: Image input, ByRef Image destination, Number n<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
47,CLIJ2 Average Distance Of N Closest Points,"Determines the average of the n closest points for every point in a distance matrix.<br/><br/>This corresponds to the average of the n minimum values (rows) for each column of the distance matrix.<br/><br/>Parameters<br/>----------<br/>distance_matrix : Image<br/>    The a distance matrix to be processed.<br/>distance_list_destination : Image<br/>    A vector image with the same width as the distance matrix and height=1, depth=1.<br/>    Determined average distances will be written into this vector.<br/>n_closest_points_to_find : Number<br/>    Number of smallest distances which should be averaged.<br/><br/><br/>Parameters: Image distance_matrix, ByRef Image distance_list_destination, Number n_closest_points_to_find<br/>Available for: 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
48,CLIJ2 Average Distance Of N Far Off Points,"Determines the average of the n far off (most distant) points for every point in a distance matrix.<br/><br/>This corresponds to the average of the n maximum values (rows) for each column of the distance matrix.<br/><br/>Parameters<br/>----------<br/>distance_matrix : Image<br/>    The a distance matrix to be processed.<br/>distance_list_destination : Image<br/>    A vector image with the same width as the distance matrix and height=1, depth=1.<br/>    Determined average distances will be written into this vector.<br/>n_far_off_points_to_find : Number<br/>    Number of largest distances which should be averaged.<br/><br/><br/>Parameters: Image distance_matrix, ByRef Image distance+_list_destination, Number n_far_off_points_to_find<br/>Available for: 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
49,CLIJ2 Average Distance Of Touching Neighbors,"Takes a touch matrix and a distance matrix to determine the average distance of touching neighbors <br/> for every object.<br/><br/>Parameters<br/>----------<br/>distance_matrix : Image<br/>    The a distance matrix to be processed.<br/>touch_matrix : Image<br/>    The binary touch matrix describing which distances should be taken into account.<br/>distance_list_destination : Image<br/>    A vector image with the same width as the distance matrix and height=1, depth=1.<br/>    Determined average distances will be written into this vector.<br/><br/><br/>Parameters: Image distance_matrix, Image touch_matrix, ByRef Image average_distancelist_destination<br/>Available for: 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
50,CLIJ2 Average Neighbor Distance Map,"Takes a label map, determines which labels touch and replaces every label with the average distance to their neighboring labels.<br/><br/>To determine the distances, the centroid of the labels is determined internally.<br/><br/>Parameters: Image input, ByRef Image destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
51,CLIJ2 Binary And,"Computes a binary image (containing pixel values 0 and 1) from two images X and Y by connecting pairs of<br/>pixels x and y with the binary AND operator &.<br/>All pixel values except 0 in the input images are interpreted as 1.<br/><br/><pre>f(x, y) = x & y</pre><br/><br/>Parameters<br/>----------<br/>operand1 : Image<br/>    The first binary input image to be processed.<br/>operand2 : Image<br/>    The second binary input image to be processed.<br/>destination : Image<br/>    The output image where results are written into.<br/><br/><br/>Parameters: Image operand1, Image operand2, ByRef Image destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
52,CLIJ2 Binary Edge Detection,"Determines pixels/voxels which are on the surface of binary objects and sets only them to 1 in the <br/>destination image. All other pixels are set to 0.<br/><br/>Parameters<br/>----------<br/>source : Image<br/>    The binary input image where edges will be searched.<br/>destination : Image<br/>    The output image where edge pixels will be 1.<br/><br/><br/>Parameters: Image source, ByRef Image destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
53,CLIJ2 Binary Fill Holes,"Fills holes (pixels with value 0 surrounded by pixels with value 1) in a binary image.<br/><br/>Note: This function is known to perform slowly on large images. Consider using the extension <br/>CLIJx_morphoLibJFillHoles(input, destination) instead.<br/>Read more: http://clij.github.io/assistant/installation#extensions<br/><br/>Parameters<br/>----------<br/>source : Image<br/>    The binary input image where holes will be filled.<br/>destination : Image<br/>    The output image where true pixels will be 1.<br/><br/><br/>Parameters: Image source, ByRef Image destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
54,CLIJ2 Binary Intersection,"Computes a binary image (containing pixel values 0 and 1) from two images X and Y by connecting pairs of<br/>pixels x and y with the binary intersection operator &.<br/>All pixel values except 0 in the input images are interpreted as 1.<br/><br/><pre>f(x, y) = x & y</pre><br/><br/>Parameters<br/>----------<br/>operand1 : Image<br/>    The first binary input image to be processed.<br/>operand2 : Image<br/>    The second binary input image to be processed.<br/>destination : Image<br/>    The output image where results are written into.<br/><br/><br/>Parameters: Image operand1, Image operand2, ByRef Image destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
55,CLIJ2 Binary Not,"Computes a binary image (containing pixel values 0 and 1) from an image X by negating its pixel values<br/>x using the binary NOT operator !<br/><br/>All pixel values except 0 in the input image are interpreted as 1.<br/><br/><pre>f(x) = !x</pre><br/><br/>Parameters<br/>----------<br/>source : Image<br/>    The binary input image to be inverted.<br/>destination : Image<br/>    The output image where results are written into.<br/><br/><br/>Parameters: Image source, ByRef Image destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
56,CLIJ2 Binary Or,"Computes a binary image (containing pixel values 0 and 1) from two images X and Y by connecting pairs of<br/>pixels x and y with the binary OR operator |.<br/><br/>All pixel values except 0 in the input images are interpreted as 1.<pre>f(x, y) = x | y</pre><br/><br/>Parameters<br/>----------<br/>operand1 : Image<br/>    The first binary input image to be processed.<br/>operand2 : Image<br/>    The second binary input image to be processed.<br/>destination : Image<br/>    The output image where results are written into.<br/><br/><br/>Parameters: Image operand1, Image operand2, ByRef Image destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
57,CLIJ2 Binary Subtract,"Subtracts one binary image from another.<br/><br/>Parameters<br/>----------<br/>minuend : Image<br/>    The first binary input image to be processed.<br/>suubtrahend : Image<br/>    The second binary input image to be subtracted from the first.<br/>destination : Image<br/>    The output image where results are written into.<br/><br/><br/>Parameters: Image minuend, Image subtrahend, ByRef Image destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
58,CLIJ2 Binary Union,"Computes a binary image (containing pixel values 0 and 1) from two images X and Y by connecting pairs of<br/>pixels x and y with the binary union operator |.<br/><br/>All pixel values except 0 in the input images are interpreted as 1.<pre>f(x, y) = x | y</pre><br/><br/>Parameters<br/>----------<br/>operand1 : Image<br/>    The first binary input image to be processed.<br/>operand2 : Image<br/>    The second binary input image to be processed.<br/>destination : Image<br/>    The output image where results are written into.<br/><br/><br/>Parameters: Image operand1, Image operand2, ByRef Image destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
